name,SAFE enriched score,R
envo_biome_1_aquatic biome,369.16517242976454,0.29837495599854896
envo_biome_1_terrestrial biome,354.49966035511704,0.29837495599854896
empo_1_Free-living,333.3966837250065,0.2360422064194888
envo_biome_2_anthropogenic terrestrial biome,321.1541902051937,0.28110393591443744
extraction_center_ANL-Chicago,286.705161350372,0.27433889553125695
empo_1_Host-associated,279.6225955560802,0.2360422064194888
extraction_center_CCME-Boulder,268.03214807100284,0.369747797379701
envo_biome_2_marine biome,241.82116560830326,0.28948687494269276
adiv_shannon,238.73524056184675,0.6990879208610739
envo_biome_3_dense settlement biome,229.4583890349242,0.484097016301179
envo_biome_4_urban biome,222.37823429486758,0.4681401154308736
env_biome_urban biome,220.96699152388837,0.4681401154308736
empo_2_Animal,217.34384247352128,0.5084322029547914
empo_2_Non-saline,212.91460255952046,0.21617646464055315
country_GAZ:United States of America,198.89840961471936,0.03955085551245255
read_length_bp,189.30486846730903,0.03249624871487827
envo_biome_2_freshwater biome,184.33430771867853,0.1297556220458754
extraction_center_LBNL-Berkeley,175.1814109862912,0.03500989552544085
adiv_faith_pd,172.87066176529112,0.729249027689095
adiv_observed_otus,167.67497087569282,0.7412010835396765
empo_2_Saline,166.14477030460586,0.11165942286787628
env_feature_animal-associated habitat,165.529493960466,0.1728224082941531
technology_HiSeq,164.9322660759227,0.015741285719641746
adiv_chao1,162.0235939696736,0.6862103784896513
env_biome_marine biome,148.52520967090229,0.3543485324052248
study_id,147.0985086203679,0.0012531947749676918
env_material_organic material,140.13411173895594,0.12207829365115544
envo_biome_3_freshwater lake biome,135.46234208245073,0.04626327226940104
elevation_m,132.42325245906707,0.033032922160280274
env_biome_Small lake biome,130.8404039281802,0.042475931362119496
envo_biome_4_Small lake biome,129.71599975790116,0.042475931362119496
empo_2_Plant,121.33817173451192,0.13596702067048472
empo_3_Water (non-saline),113.10618208318829,0.025305543845733146
env_material_fresh water,111.63072693751556,0.025305543845733146
empo_3_Animal surface,108.45634630042446,0.04764495581594262
env_biome_freshwater biome,105.94644015250198,0.019436143179612432
env_biome_marine benthic biome,105.32191375322469,0.02787553179240261
latitude_deg,105.14300646689875,0.0986993717138131
env_feature_hydrothermal vent,93.20893902912002,0.010789139368296953
sample_scientific_name_freshwater metagenome,93.144501685363,0.018291524631562594
sample_scientific_name_hydrothermal vent metagenome,92.97759687353714,0.010789139368296953
env_material_biofilm,88.26300110509307,0.13651883086513614
env_material_air,87.75509335347249,0.06172458036682297
env_feature_city,87.25628241747549,0.06172458036682297
empo_3_Aerosol (non-saline),86.8556217610433,0.06172458036682297
sample_scientific_name_air metagenome,86.69851302618022,0.06172458036682297
envo_biome_3_marine benthic biome,86.26837550161429,0.004238783210529893
env_material_travertine,85.81713979816591,0.0021529445619526007
sample_scientific_name_soil metagenome,84.63776386669042,0.014570009348820983
env_material_sebum,84.11417793646781,0.060144419721803184
env_feature_freshwater habitat,83.14317165301941,0.0700688829740165
env_feature_alkaline habitat,82.82934610646876,0.0021529445619526007
env_material_lake sediment,81.04334221528704,0.02968359874216422
empo_3_Water (saline),80.25266939770205,0.0487947602839745
env_material_sea water,79.3140179910096,0.04083196459490273
host_scientific_name_Homo sapiens,78.8921049427342,0.22902976706051717
env_feature_human-associated habitat,78.70318579251582,0.22902976706051717
env_biome_cropland biome,77.27732898924675,0.06343288331820078
empo_3_Surface (saline),76.83405644566332,0.051377015942476754
longitude_deg,76.62451437186068,0.08075470036149698
sample_scientific_name_sediment metagenome,76.60113647267002,0.00414256563919097
envo_biome_3_cropland biome,76.45442879869073,0.06343288331820078
sample_scientific_name_human skin metagenome,76.2640916474016,0.048324771942491594
envo_biome_4_Large river biome,75.74338579624937,0.005796941335037234
country_GAZ:North Atlantic Ocean,75.0466044723644,0.01333041501705308
empo_3_Surface (non-saline),74.51031558928945,0.013498302001680056
env_biome_Large river biome,74.44305436613217,0.005796941335037234
env_material_feces,74.40850719825487,0.13057946038038878
empo_3_Animal distal gut,73.85581091245052,0.12810911435263903
empo_3_Soil (non-saline),73.48674892777534,0.10060058909119415
sample_scientific_name_marine metagenome,73.28047033523393,0.05259440483003799
sample_scientific_name_organismal metagenomes,72.71289530257951,0.03972370434933534
sample_scientific_name_biofilm metagenome,71.40769112976467,0.10848580287627306
empo_3_Sediment (saline),70.95200944063964,0.024749165834989532
sample_scientific_name_gut metagenome,70.67357415574027,0.14529489026147535
host_scientific_name_Varanus komodoensis,69.52247099283242,0.03576218527556839
env_material_soil,67.26791273686607,0.09333225045398684
envo_biome_4_Large lake biome,65.1672429141894,0.0034985212510327095
env_biome_Large lake biome,64.72499945909898,0.0034985212510327095
empo_3_Sediment (non-saline),64.07951498327056,0.11423187293393598
env_material_sediment,63.85370185479186,0.03280162978512387
envo_biome_2_forest biome,62.72926961831787,0.001431436899480683
sample_scientific_name_freshwater sediment metagenome,62.57168459060676,0.11214704749490592
sample_scientific_name_marine sediment metagenome,61.94792458182488,0.02569226171822244
country_GAZ:China,61.88916246637221,0.0045405172073259125
country_GAZ:Germany,60.94509155020812,0.0461426482162805
env_feature_freshwater lake,60.4049778151322,0.005317365394866673
env_feature_forest soil,60.08286575964658,0.015944396256438374
host_scientific_name_Ecklonia radiata,56.6472614366459,0.16744121991715144
empo_3_Animal proximal gut,56.393173254763354,0.07584688330312944
env_biome_aquatic biome,56.06624687555506,0.0047113382474101755
env_feature_kelp forest,55.63079770320941,0.24123837594010747
env_material_marine sediment,54.93117383460789,0.014875804798039604
empo_3_Plant surface,54.86972033214667,0.24123837594010747
empo_3_Plant corpus,54.83422431995715,0.07654726044237081
country_GAZ:Australia,54.50379296687466,0.20826001401829278
env_feature_pond,52.82206267638812,0.012521156593749817
sample_scientific_name_root metagenome,51.132754480046856,0.05875306582595948
env_feature_vineyard,51.09674194779309,0.020868804664827836
env_material_dust,50.581618736131254,0.01369477876025574
env_feature_lake,50.39133831644382,0.0032860669650295335
env_feature_anthropogenic environmental material,50.03740908048904,0.01369477876025574
sample_scientific_name_indoor metagenome,49.73740926195157,0.01369477876025574
env_feature_dry lake,49.4067123412951,0.0013239030616394112
env_feature_marine feature,48.623260612542445,0.005201467513566365
env_feature_river,48.08418006092577,0.004573725865441251
env_biome_forest biome,47.90168923803914,0.002004555287108434
country_GAZ:Mexico,45.426021165796406,0.0017988562986031382
env_material_surface layer,44.85787986215723,0.010374409057785645
technology_GAIIx,44.174354566572106,0.006714202648526505
country_GAZ:Italy,43.29826871180891,0.013503309529908346
host_scientific_name_Pygathrix nemaeus,41.76003446358542,0.12237350329312119
envo_biome_2_shrubland biome,41.58256328230704,0.014957101549160298
env_feature_contaminated sediment,41.07929735459243,0.0056371648099384575
env_feature_intertidal zone,40.61802592509826,0.06194303533331768
country_GAZ:Antarctica,40.32731054929643,0.0014400097620525928
env_material_mucus,40.29946527943183,0.015899117808467974
env_feature_sea beach,39.93568624812015,0.0017981186453944935
country_GAZ:Canada,39.84953400105118,0.020630486681477142
env_biome_terrestrial biome,39.63851601934277,0.013122672583498363
env_biome_shrubland biome,39.58595601349745,0.018112803360978195
env_feature_marine habitat,39.06294101420672,0.007180929959707993
env_feature_strait,38.976124146628564,0.006261482370413675
altitude_m,38.90143772216008,0.006261482370413675
country_GAZ:Sweden,38.68635321237116,0.006113457030451261
country_GAZ:English Channel,38.29395918570981,0.006261482370413675
env_feature_cold temperature habitat,38.26595054451192,0.002934404717150673
envo_biome_2_tundra biome,38.249394138101785,0.005498273423902439
sample_scientific_name_fish metagenome,38.186110787480196,0.0030224302610176437
technology_MiSeq,37.152182428393324,0.020755809895244986
env_feature_rice field,36.080592485645795,0.09633442018183902
empo_3_Animal corpus,36.07787092150031,0.06658845067223221
env_biome_tundra biome,35.659705909385366,0.005498273423902439
env_feature_cove,35.21304423092802,0.002121781142454875
sample_scientific_name_algae metagenome,35.066697682580084,0.14962124295653542
host_scientific_name_Oryza sativa,34.612214169471805,0.1030365778341771
empo_3_Plant rhizosphere,34.32135728593387,0.19381500519100797
env_feature_sinkhole,34.272693347649245,0.0007473486517586584
country_GAZ:Japan,34.02269849526587,0.1030365778341771
extraction_center_NIG-Japan,33.904888461770895,0.1030365778341771
env_material_animal habitation,33.78307793507198,0.00644859118383643
country_GAZ:Scotland,33.3717527157747,0.007769418231798811
empo_3_Animal secretion,31.770042646498688,0.12012661469276475
country_GAZ:England,31.487442103085804,0.006757715763361589
env_feature_neritic zone,31.455067906076714,0.006757715763361589
