,MDS1,MDS2,MDS3,MDS4,MDS5,MDS6
10317.000012326,-0.7925650141233143,-0.35065716340092506,0.8758963148426953,-0.8107309932541781,-0.061463448752925545,-0.49116986444447147
10317.000054127,0.3341346179688514,0.2326287737781889,-0.20489367482138443,0.45206472559927474,-0.9679506625847168,0.9341595833615595
10317.000030973,0.7390661795446615,-0.6627189582889108,-0.976840234440869,0.6609048755810185,0.06318527813549327,-0.20386322079323071
10317.000069160,0.6595026514147417,-0.31612577428905114,-1.0388594904610378,-0.5276029939865713,0.7680126971002015,0.750124050903756
10317.000059092,0.2836054172951326,0.7392051639500495,-0.3837391649679781,1.0106784991588924,0.9817143576171489,0.8216937177627218
10317.000003303,-0.5358350714351093,-0.7628156473366408,-0.2528049957559474,-0.3253717538604431,0.36277119810338937,0.5552037109561873
10317.000028859,-0.5036716273226144,0.2679640313373215,-0.6072564049929855,-0.15844224608987464,-0.9794327880332899,-0.33714542720700014
10317.000039876,0.3956414347213234,-0.1500458488461239,0.49704735539180267,1.137299201110657,0.9189125343680529,-0.03981105044509149
10317.000067710,0.5926341300458516,-0.7124481554645381,-0.7243348150188841,0.553079604142192,1.1369036103685004,0.308005422771206
10317.000003799,1.0659641122984231,0.2810682843157159,0.905683969853898,0.22571486141820019,0.42834944158389554,-0.025183842443247915
10317.000066634,-0.11557099973864741,-0.5623522263808686,0.1682816715025999,0.0925948774471922,-1.0407204649608022,0.49685279677937083
10317.000001118,-0.8812221629087371,0.0014442660645772897,0.37540657729644944,-0.002187408083211623,-0.26341419691873463,0.1453268098625582
10317.000004980,0.7636344457861178,0.7352885723028444,0.18434736976757887,-0.6286137866080388,-1.5114308058659056,0.42644126334267224
10317.000022492,0.039580086004019535,0.8686877119184784,-0.5463177508677471,0.6354733678496874,-0.525898342779421,-1.1233625252255253
10317.000003432,1.059241004353831,0.6923830739390894,-0.4539141285716041,0.7191387958219754,0.14615648224377292,0.07017052576479813
10317.000018054,-0.04916204897650936,-0.5944676368800806,0.5587567235374815,0.33455809517500223,0.06715354592042799,1.196986196315008
10317.000065912,0.11197393103844742,0.5549680471387828,-1.7496894786522255,-0.0762523801680686,0.6589234439468814,0.36717611887568014
10317.000022155,-0.4399623176971321,0.24912445912141623,0.7174872365377173,-0.014335634337056674,-0.49734902566123745,0.31851794027507485
10317.000004693,-0.40496674081649886,0.8433444474770618,-1.1094500511079932,-0.3603559984696399,0.4462966109917193,0.17504501169191444
10317.000045016,0.20933977189569108,-0.07768709793354293,-1.0988750678882293,0.5275350118863956,0.9909325793926173,-0.7060267807713547
10317.000069061,0.3677520386323502,0.03637612963440408,0.10296587151496814,1.165653291466514,0.6327117203032823,0.3793263883453925
10317.000023880,-0.3467916092941056,0.48928522968959043,0.4699550702437835,-0.8944030361325468,0.42348984860399647,1.1329123292782237
10317.000001870,-0.16448287337586626,-0.328003584148289,-0.18545991282909333,-0.5664204309415931,-1.0648241894247277,-0.9169709869610924
10317.000026102,0.9858937233275075,-1.031671843763713,0.20379186391739323,-0.9822510424941521,-0.6703187657603293,-0.01282571306764979
10317.000022965,-0.03457888788950788,0.08081542863922589,-0.6199057217562411,-1.9251532800714284,-0.2000332455626566,0.454200178845129
10317.000004815,0.04791127884941,0.41267692428183134,0.4223874079934852,0.9971481880862331,-0.11157912553477037,1.1823318015619102
10317.000012069,0.8697899119780348,-0.5155531238180281,1.2771413590161582,-0.45209453231586355,-1.0850645980111155,0.4842347296338479
10317.000047409,0.6849826097736182,-0.8543588225144253,0.012744145834612247,0.5035816850743157,0.3251826454260115,-0.48618066736482224
10317.000001902,-0.6675359614174668,1.0583779152682848,0.1373575251352005,0.23884199489175606,0.19560617678916398,-0.9137765473007335
10317.000033048,-1.1571753735808603,0.5456241576988796,0.5268699806123396,-0.18569692827311043,0.24885474873978874,0.32027761915273784
10317.000027604,-0.7429945125178457,-0.09334849220044136,-0.2676596467674202,-0.7650056936062627,0.1531406142486663,0.18271981315688018
10317.000058982,-0.6642148135432268,-0.25748032867361276,0.8488961558508268,0.7838756887132339,1.1126226565386415,-0.4262191760572614
10317.000014018,-0.06539106665285231,-0.7178230431772886,-0.6259125297675181,0.5638221519293231,0.7934991880862499,-0.29822417712431626
10317.000030365,0.8680404016551907,0.018647171762580374,1.5371553254226773,1.0702306074400814,0.8262561021154385,0.6346738468001477
10317.000068292,0.23592358364158061,-1.4764976887532868,0.4782695232634505,-0.3701137579530642,0.4912840014591853,0.9209326805325968
10317.000001911,-0.382893028249435,-0.4114234508038599,-0.6607470298635665,0.160430523407724,0.3935536459092096,-1.449361356804021
10317.000032753,-0.44757541611262613,0.6517917734545389,-1.2685991086214774,0.11204582685167434,0.6630216188599534,0.05268486971945745
10317.000062088,1.4049480551687745,0.42505057396641055,-0.10180749524702103,0.5947823026580511,0.02973392056982784,-0.18837570662253522
